Course No.,Title,Day(s),Time,Professor
ACC1000-01,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,8:00AM- 9:30AM,"Halsey, Robert F"
ACC1000-02,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,10:00AM-11:30AM,"Halsey, Robert F"
ACC1000-03,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,12:00PM- 1:30PM,"Attachot, Weerapat"
ACC1000-04,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,2:00PM- 3:30PM,"Attachot, Weerapat"
ACC1000-05,INTRODUCTION TO FINANCIAL ACCOUNTING,MW,4:00PM- 5:30PM,"Blanchette Proulx, Shay"
ACC1000-06,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,8:00AM- 9:30AM,"Coyle, William H"
ACC1000-07,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,10:00AM-11:30AM,"Halsey, Robert F"
ACC1000-08,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,12:00PM- 1:30PM,"Soybel, Virginia E"
ACC1000-09,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,2:00PM- 3:30PM,"Soybel, Virginia E"
ACC1000-10,INTRODUCTION TO FINANCIAL ACCOUNTING,TR,6:00PM- 7:30PM,"Wilson, Peter R"
ACC3500-01,INTERMEDIATE ACCOUNTING I,MW,10:00AM-11:30AM,"Blanchette Proulx, Shay"
ACC3500-02,INTERMEDIATE ACCOUNTING I,MW,12:00PM- 1:30PM,"Blanchette Proulx, Shay"
ACC3502-01,INTERMEDIATE ACCOUNTING I: FINANCE,TR,10:00AM-11:30AM,"Soybel, Virginia E"
ACC3510-01,FINANCIAL PLANNING & COST CONTROL,T,6:30PM- 9:30PM,"Juras, Paul E"
ACC3546-01,ACCOUNTING ANALYTICS,TR,2:00PM- 3:30PM,"Kokina, Julia"
ACC4520-01,AUDITING,TR,10:00AM-11:30AM,"Coyle, William H"
ANT4605-01,ANTHROPOLOGY OF LAW,TR,8:00AM- 9:30AM,"Bafford, Douglas"
ANT4606-01,MODERN ISRAEL:CONFLICTS IN CONTEXT,MW,4:00PM- 5:30PM,"Dworsky-Rocha, Maya J"
AQM1000-01,FOUNDATIONS OF BUSINESS ANALYTICS,MW,8:00AM- 9:30AM,"Wu, Hongsheng"
AQM1000-02,FOUNDATIONS OF BUSINESS ANALYTICS,MW,8:00AM- 9:30AM,"Ahmadian, Mohsen"
AQM1000-03,FOUNDATIONS OF BUSINESS ANALYTICS,MW,10:00AM-11:30AM,"Ahmadian, Mohsen"
AQM1000-04,FOUNDATIONS OF BUSINESS ANALYTICS,MW,12:00PM- 1:30PM,"Khachatryan, Davit"
AQM1000-05,FOUNDATIONS OF BUSINESS ANALYTICS,MW,2:00PM- 3:30PM,"Khachatryan, Davit"
AQM1000-06,FOUNDATIONS OF BUSINESS ANALYTICS,MW,2:00PM- 3:30PM,"Recck, George R"
AQM1000-07,FOUNDATIONS OF BUSINESS ANALYTICS,MW,4:00PM- 5:30PM,"Recck, George R"
AQM1000-08,FOUNDATIONS OF BUSINESS ANALYTICS,TR,8:00AM- 9:30AM,"Giunta, Salvatore P"
AQM1000-09,FOUNDATIONS OF BUSINESS ANALYTICS,TR,10:00AM-11:30AM,"Chan, Eric W"
AQM1000-10,FOUNDATIONS OF BUSINESS ANALYTICS,TR,12:00PM- 1:30PM,"Chan, Eric W"
AQM1000-11,FOUNDATIONS OF BUSINESS ANALYTICS,TR,12:00PM- 1:30PM,"Myers, Dahri A"
AQM1000-12,FOUNDATIONS OF BUSINESS ANALYTICS,TR,2:00PM- 3:30PM,"Giunta, Salvatore P"
AQM1000-13,FOUNDATIONS OF BUSINESS ANALYTICS,TR,2:00PM- 3:30PM,"Myers, Dahri A"
AQM1000-14,FOUNDATIONS OF BUSINESS ANALYTICS,TR,4:00PM- 5:30PM,"Giunta, Salvatore P"
AQM1000-15,FOUNDATIONS OF BUSINESS ANALYTICS,TR,4:00PM- 5:30PM,"Myers, Dahri A"
AQM1000-16,FOUNDATIONS OF BUSINESS ANALYTICS,TR,4:00PM- 5:30PM,"Troughton, Howard D"
ARB2200-01,ARABIC I: INTRODUCTION TO ARABIC,TR,10:00AM-11:30AM,"Abdelghany, Louissa T"
ARB4640-01,ARABIC CINEMA AND CULTURE,TR,12:00PM- 1:30PM,"Abdelghany, Louissa T"
ART1175-01,BEGIN PAINTING WATERCOLOR ACRYLIC,TR,2:00PM- 3:30PM,
ASM3300-01,STRATEGIC PROBLEM SOLVING,MW,8:00AM- 9:30AM,"Cohan, Peter S"
ASM3300-02,STRATEGIC PROBLEM SOLVING,MW,8:00AM- 9:30AM,"Bero, Bret H"
ASM3300-03,STRATEGIC PROBLEM SOLVING,MW,10:00AM-11:30AM,"Cohan, Peter S"
ASM3300-04,STRATEGIC PROBLEM SOLVING,MW,2:00PM- 3:30PM,"Crocker, Alia"
ASM3300-05,STRATEGIC PROBLEM SOLVING,MW,4:00PM- 5:30PM,"Crocker, Alia"
ASM3300-06,STRATEGIC PROBLEM SOLVING,TR,10:00AM-11:30AM,"Sims, Jonathan P"
ASM3300-07,STRATEGIC PROBLEM SOLVING,TR,12:00PM- 1:30PM,"Sims, Jonathan P"
ASM3300-08,STRATEGIC PROBLEM SOLVING,TR,12:00PM- 1:30PM,"Wang, Richard D"
ASM3300-09,STRATEGIC PROBLEM SOLVING,TR,2:00PM- 3:30PM,"Wang, Richard D"
CHN2200-01,CHINESE I,TR,2:00PM- 3:30PM,"Chen-Cristoforo, Miranda"
COM3504-01,COMMUNICATING IN GLOBAL VIRTUAL TEAMS,MW,12:00PM- 1:30PM,"Getchell, Kristen M"
COM3511-A01,BUSINESS PRESENTATIONS,T,6:30PM- 9:30PM,"Sinnott, Sharon L"
COM3511-B01,BUSINESS PRESENTATIONS,T,6:30PM- 9:30PM,"Sinnott, Sharon L"
COM3521-A01,BUSINESS WRITING,MW,10:00AM-11:30AM,"Getchell, Kristen M"
COM3521-B01,BUSINESS WRITING,MW,10:00AM-11:30AM,"Getchell, Kristen M"
CVA2001-01,ETHICS,TR,8:00AM- 9:30AM,"Seitz, Brian T"
CVA2001-02,ETHICS,TR,10:00AM-11:30AM,"Seitz, Brian T"
CVA2007-01,INTRO TO PHILOSOPHY,TR,12:00PM- 1:30PM,"Bankston, Samantha"
CVA2007-02,INTRO TO PHILOSOPHY,TR,4:00PM- 5:30PM,"Bankston, Samantha"
CVA2008-01,CULTURAL ANTHROPOLOGY,MW,6:00PM- 7:30PM,"Dworsky-Rocha, Maya J"
CVA2020-01,MEDIA STUDIES,MW,2:00PM- 3:30PM,"Li, Xinghua"
CVA2020-02,MEDIA STUDIES,MW,4:00PM- 5:30PM,"Li, Xinghua"
CVA2030-01,AFRICAN AMERICAN MUSIC IN THE US,MW,10:00AM-11:30AM,"Graham, Sandra J"
CVA2055-01,PEOPLES AND CULTURES OF THE AMERICAS,TR,2:00PM- 3:30PM,"Chase, V. Miranda"
CVA2057-01,NARRATIVES OF SUSTAINABILITY,TR,12:00PM- 1:30PM,"Graham, Michelle"
CVA2090-01,FOOD AND THE AFRICAN AMER CANON,MW,10:00AM-11:30AM,"Opie, Frederick D"
CVA2090-02,FOOD AND THE AFRICAN AMER CANON,MW,12:00PM- 1:30PM,"Opie, Frederick D"
ECN2000-01,PRINCIPLES OF MACROECONOMICS,MW,8:00AM- 9:30AM,"Barnor, Albert"
ECN2000-02,PRINCIPLES OF MACROECONOMICS,MW,12:00PM- 1:30PM,"Barnor, Albert"
ECN2000-03,PRINCIPLES OF MACROECONOMICS,MW,2:00PM- 3:30PM,"Ricciardi, Joseph M"
ECN2000-04,PRINCIPLES OF MACROECONOMICS,MW,4:00PM- 5:30PM,"Ricciardi, Joseph M"
ECN2000-05,PRINCIPLES OF MACROECONOMICS,TR,8:00AM- 9:30AM,"Blitz, Amy E"
ECN2000-06,PRINCIPLES OF MACROECONOMICS,TR,10:00AM-11:30AM,"Blitz, Amy E"
ECN2000-07,PRINCIPLES OF MACROECONOMICS,TR,2:00PM- 3:30PM,"Constantino, Raphael J"
ECN2611-01,SOCIOECOLOGICAL SYSTEMS AND DISASTER RES,MW,2:00PM- 3:30PM,"Way, Megan M Winrich, Charles D"
ECN3615-01,"MONEY, BANKING & THE ECONOMY",MW,8:00AM- 9:30AM,"Stillwagon, Joshua R"
ECN3615-02,"MONEY, BANKING & THE ECONOMY",MW,10:00AM-11:30AM,"Stillwagon, Joshua R"
ECN3620-01,ECONOMETRICS,TR,10:00AM-11:30AM,"Gai, Yunwei"
ECN3655-01,MANAGERIAL ECONOMICS,TR,8:00AM- 9:30AM,"Constantino, Raphael J"
ECN3655-02,MANAGERIAL ECONOMICS,TR,12:00PM- 1:30PM,"Mukherjee, Kankana"
ECN3660-01,INTERNATIONAL TRADE THEORY & POLICY,MW,12:00PM- 1:30PM,"Jones, Kent A"
ECN3662-01,POLITICAL ECON LATIN AM DEV/UNDRDEV,MW,6:00PM- 7:30PM,"Ricciardi, Joseph M"
ECN3664-A01,COLLEGE FED CHALLENGE,MW,4:00PM- 5:30PM,"Stillwagon, Joshua R"
ECN3665-01,INTERNATIONAL FINANCE,MW,6:00PM- 7:30PM,"Jones, Kent A"
ECN3667-01,STRATEGIC GAME THEORY,TR,4:00PM- 5:30PM,"Mukherjee, Kankana"
ECN3675-01,ENVIRONMENTAL ECON-POLICY AND ANALYSIS,MW,10:00AM-11:30AM,"Joglekar, Deepak"
ENG4604-01,WRITING POETRY,TR,12:00PM- 1:30PM,"Pinard, Mary C"
ENG4605-01,WRITING FICTION,MW,10:00AM-11:30AM,"O'Donoghue, Mary G"
ENG4620-01,WRITING CREATIVE NON-FICTION,TR,12:00PM- 1:30PM,"Bauer, Stephen K"
ENV4605-01,GLOBAL ENVIRONMENTAL ACTIVISM,MW,2:00PM- 3:30PM,"Famiglietti, Candace"
EPS1000-01,FOUNDATIONS OF ENTREPRENEURIAL MANAGEMEN,MW,10:00AM-11:30AM,"Rice, Mark P"
EPS1210-01,THE ULTIMATE ENTREPRENEURIAL CHALLENGE,W,2:00PM- 5:00PM,"Green, Leonard C Rice, Mark P"
EPS3501-01,ENTREPRENEURSHIP AND OPPORTUNITY,MW,12:00PM- 1:30PM,"George, Bradley A"
EPS3504-01,FUTURE TRENDS AND EPS VENTURES,M,2:00PM- 5:00PM,"Daniels, Caroline"
EPS3505-01,"GREAT EPS WEALTH:CREATION,PRSV,DEST",W,6:30PM- 9:30PM,"Shulman, Joel M"
EPS3514-01,BE THE CHANGE:EVALUATING SOCIAL IMPACT,W,6:00PM- 7:30PM,"Hellmuth Thomas, Lisa A"
EPS3518-01,CROWDFUNDING,M,2:00PM- 5:00PM,"Noyes, Erik A"
EPS3540-01,RAISING MONEY-VC AND PRIVATE EQUITY,T,2:00PM- 5:00PM,"LaPoint, William J"
EPS3551-01,ENTREPRENEURIAL FAMILIES,M,6:30PM- 9:30PM,"Allen, Mathew R"
EPS3552-01,ENTREPRENEURIAL FAMILIES PROJECT,,6:30PM- 9:30PM,"Allen, Mathew R"
EPS4510-01,ENTREPRENEURIAL FINANCE,MW,10:00AM-11:30AM,"Santinelli, Angelo J"
EPS4515-01,AFFORDABLE DESIGN AND ENTREPRENEURSHIP,T,3:30PM- 6:30PM,"Bida, Craig"
EPS4527-01,SOC EPS BY DESIGN,T,2:00PM- 5:00PM,"Daniels, Caroline"
EPS4530-01,LIVING THE EPS EXPERIENCE (GENERAL FOCUS,TR,6:00PM- 7:30PM,
EXC3000-01,BABSON STUDY ABROAD,,6:00PM- 7:30PM,
FCI1000-01,FOUNDATIONS OF CRITICAL INQUIRY,MW,8:00AM- 9:30AM,"Schmitz, Paul"
FCI1000-02,FOUNDATIONS OF CRITICAL INQUIRY,MW,8:00AM- 9:30AM,"Wynstra, Carole B"
FCI1000-03,FOUNDATIONS OF CRITICAL INQUIRY,MW,10:00AM-11:30AM,"Schmitz, Paul"
FCI1000-04,FOUNDATIONS OF CRITICAL INQUIRY,MW,12:00PM- 1:30PM,"Wynstra, Carole B"
FCI1000-05,FOUNDATIONS OF CRITICAL INQUIRY,MW,2:00PM- 3:30PM,"Hauf, Kandice J"
FCI1000-06,FOUNDATIONS OF CRITICAL INQUIRY,MW,2:00PM- 3:30PM,"Hodge, John H"
FCI1000-07,FOUNDATIONS OF CRITICAL INQUIRY,MW,4:00PM- 5:30PM,"Hodge, John H"
FCI1000-08,FOUNDATIONS OF CRITICAL INQUIRY,MW,6:00PM- 7:30PM,"Hodge, John H"
FCI1000-09,FOUNDATIONS OF CRITICAL INQUIRY,TR,8:00AM- 9:30AM,"Fleischmann, Fritz"
FCI1000-10,FOUNDATIONS OF CRITICAL INQUIRY,TR,10:00AM-11:30AM,"Fleischmann, Fritz"
FCI1000-11,FOUNDATIONS OF CRITICAL INQUIRY,TR,10:00AM-11:30AM,"Dietrick, Jon M"
FCI1000-12,FOUNDATIONS OF CRITICAL INQUIRY,TR,12:00PM- 1:30PM,"Bruyneel, Kevin M"
FCI1000-13,FOUNDATIONS OF CRITICAL INQUIRY,TR,2:00PM- 3:30PM,"Bruyneel, Kevin M"
FCI1000-14,FOUNDATIONS OF CRITICAL INQUIRY,TR,2:00PM- 3:30PM,"Bauer, Stephen K"
FCI1000-15,FOUNDATIONS OF CRITICAL INQUIRY,TR,4:00PM- 5:30PM,"Bauer, Stephen K"
FIN3512-01,REAL ESTATE TRANSACTIONS AND LAW,TR,10:00AM-11:30AM,"Escobedo, Erin D"
FIN3515-01,CORPORATE FINANCIAL MANAGEMENT,MW,10:00AM-11:30AM,"Adams, Spencer M"
FIN3515-02,CORPORATE FINANCIAL MANAGEMENT,MW,12:00PM- 1:30PM,"Adams, Spencer M"
FIN3515-03,CORPORATE FINANCIAL MANAGEMENT,TR,4:00PM- 5:30PM,"Krigman, Laurie A"
FIN3520-01,SECURITY VALUATION,MW,2:00PM- 3:30PM,"Feinstein, Steven P"
FIN3520-02,SECURITY VALUATION,MW,4:00PM- 5:30PM,"Feinstein, Steven P"
FIN3555-01,REAL ESTATE INVESTMENT,MW,8:00AM- 9:30AM,"Griesmer, Paul"
FIN3560-01,FINANCIAL MARKETS AND INSTRUMENTS,MW,12:00PM- 1:30PM,"Goldstein, Michael A"
FIN3560-02,FINANCIAL MARKETS AND INSTRUMENTS,MW,2:00PM- 3:30PM,"Goldstein, Michael A"
FIN3565-01,REAL ESTATE DEVELOPMENT,MW,12:00PM- 1:30PM,"Griesmer, Paul"
FIN4510-01,CORPORATE FINANCIAL MODELING&DECIS TOOLS,TR,8:00AM- 9:30AM,"Ashburne, John J"
FIN4520-01,BABSON COLLEGE FUND I,T,6:30PM- 9:30PM,"Gregory, Patrick C"
FIN4530-01,INVESTMENTS,MW,6:00PM- 7:30PM,"Edmunds, John C"
FIN4545-01,ALTERNATIVE INVESTMENTS,TR,2:00PM- 3:30PM,"Migliozzi, Glenn T"
FIN4560-01,OPTIONS & FUTURES,MW,2:00PM- 3:30PM,"Edmunds, John C"
FIN4571-01,REAL ESTATE FINANCE AND ADVANCED MODEL,TR,12:00PM- 1:30PM,"Griesmer, Paul"
FME1000-01,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,8:00AM- 9:30AM,
FME1000-02,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,10:00AM-11:30AM,
FME1000-03,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,10:00AM-11:30AM,
FME1000-04,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,10:00AM-11:30AM,
FME1000-05,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,12:00PM- 1:30PM,
FME1000-06,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,12:00PM- 1:30PM,
FME1000-07,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,2:00PM- 3:30PM,
FME1000-08,FOUNDATIONS OF MGMT & ENTREPRENEURS,MW,4:00PM- 5:30PM,
FME1000-09,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,8:00AM- 9:30AM,
FME1000-10,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,8:00AM- 9:30AM,
FME1000-11,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,10:00AM-11:30AM,
FME1000-12,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,10:00AM-11:30AM,
FME1000-13,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,10:00AM-11:30AM,
FME1000-14,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,12:00PM- 1:30PM,
FME1000-15,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,12:00PM- 1:30PM,
FME1000-16,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,2:00PM- 3:30PM,
FME1000-17,FOUNDATIONS OF MGMT & ENTREPRENEURS,TR,4:00PM- 5:30PM,
FRN2200-01,FRENCH I,MW,12:00PM- 1:30PM,"Niehaus, Sophia"
FRN4620-01,"FRENCH III:INTERMEDIATE LANG,CONV&CULT",MW,2:00PM- 3:30PM,"Niehaus, Sophia"
FYS1000-01,FIRST YEAR SEMINAR,,2:00PM- 3:30PM,"D'Angelo, Kate R"
GDR4605-01,GLOBAL GENDER POLITICS,TR,2:00PM- 3:30PM,
HIS4612-01,DRUGS AND INTOXICANTS IN WORLD HISTORY,TR,4:00PM- 5:30PM,"Bradford, James T"
HIS4670-01,THE HISTORY AND ETHICS OF CAPITALISM,MW,4:00PM- 5:30PM,"Hoopes, James E"
HSS2010-01,THE US IN THE WORLD IN THE 20TH CENTURY,TR,12:00PM- 1:30PM,"Bradford, James T"
HSS2010-02,THE US IN THE WORLD IN THE 20TH CENTURY,TR,2:00PM- 3:30PM,"Bradford, James T"
HSS2012-01,SOCIO-ECOLOGICAL WATER SYSTEMS,TR,10:00AM-11:30AM,"Chase, V. Miranda Foster, Sarah Q"
HSS2013-01,CHINA TODAY,MW,4:00PM- 5:30PM,"Hauf, Kandice J"
HSS2013-02,CHINA TODAY,MW,6:00PM- 7:30PM,"Hauf, Kandice J"
HSS2018-01,INTRO TO SOCIOLOGY,TR,10:00AM-11:30AM,"Godwyn, Mary E"
HSS2018-02,INTRO TO SOCIOLOGY,TR,12:00PM- 1:30PM,"Godwyn, Mary E"
HSS2030-01,US POLITICS,TR,8:00AM- 9:30AM,"Petersen-Overton, Kristofer J"
HSS2033-01,COMPARATIVE POLITICS,TR,4:00PM- 5:30PM,"Mayborn, William C"
HSS2039-01,INTRODUCTION TO CONTEMPORARY AFRICA,MW,2:00PM- 3:30PM,
HSS2080-01,SOCIO ECOLOGICAL URBAN SYSTEMS,MW,12:00PM- 1:30PM,"Rodgers, Vikki L Schmitz, Paul"
HSS2090-01,SOCIO-ECOLOGICAL SYSTEMS:FEEDING MOD US,MW,8:00AM- 9:30AM,"Blodgett, David M Feld, Marjorie N"
HSS2090-02,SOCIO-ECOLOGICAL SYSTEMS:FEEDING MOD US,MW,10:00AM-11:30AM,"Blodgett, David M Feld, Marjorie N"
HUM4601-01,"PLACE,SPACE,OCC:PUBLIC DISCOURSE THEORY",MW,10:00AM-11:30AM,"Wynstra, Carole B"
HUM4630-01,EXTREMISM,MW,12:00PM- 1:30PM,"Mohaghegh, Jason B"
HUM4630-02,EXTREMISM,MW,2:00PM- 3:30PM,"Mohaghegh, Jason B"
IMH2312-01,HONORS SEMINAR II,,2:00PM- 3:30PM,
JPN2200-01,JAPANESE I: JAPANESE LANG AND CULTURE I,TR,2:00PM- 3:30PM,"Abramoff, Kimiko Ise"
LAW1000-01,BUSINESS LAW,MW,8:00AM- 9:30AM,"Weiser, Hannah"
LAW1000-02,BUSINESS LAW,MW,10:00AM-11:30AM,"Nersessian, David"
LAW1000-03,BUSINESS LAW,MW,12:00PM- 1:30PM,"Kirschner, Cheryl B"
LAW1000-04,BUSINESS LAW,MW,2:00PM- 3:30PM,"Kirschner, Cheryl B"
LAW1000-05,BUSINESS LAW,MW,4:00PM- 5:30PM,"Sulkowski, Adam J"
